Date,Day of the week,App (Use all CAPITALS),Minutes,Category
August 28,Monday,INSTAGRAM,103,Social Media
August 28,Monday,TIK TOK ,30,Social Media
August 28,Monday,MESSAGES,20,Social Media
August 28,Monday,GMAIL,11,Education
August 28,Monday,SAFARI,9,Education
August 28,Monday,SPOTIFY,6,Entertainment
August 29,Tuesday,INSTAGRAM,134,Social Media
August 29,Tuesday,TIK TOK ,65,Social Media
August 29,Tuesday,PHOTOS,29,Other
August 29,Tuesday,MESSAGES,13,Social Media
August 29,Tuesday,SAFARI,10,Education
August 29,Tuesday,SPOTIFY,6,Entertainment
August 29,Tuesday,GMAIL,3,Education
August 30,Wednesday,INSTGRAM,89,Social Media
August 30,Wednesday,TIK TOK ,86,Social Media
August 30,Wednesday,MESSAGES,21,Social Media
August 30,Wednesday,SAFARI ,10,Education
August 30,Wednesday,GOOGLE DOCS ,9,Education
August 30,Wednesday,SPOTIFY ,5,Entertainment
August 30,Wednesday,GOOGLE PHOTOS ,5,Other
August 30,Wednesday,GOOGLE CALENDAR,4,Education
August 31,Thursday,TIK TOK,118,Social Media
August 31,Thursday,INSTAGRAM,90,Social Media
August 31,Thursday,MESSAGES,17,Social Media
August 31,Thursday,SPOTIFY ,10,Entertainment
August 31,Thursday,GMAIL,10,Education
August 31,Thursday,PHOTOS ,8,Other
August 31,Thursday,PINTEREST,6,Social Media
August 31,Thursday,SAFARI,4,Education
September 1,Friday,TIK TOK,68,Social Media
September 1,Friday,INSTAGRAM,57,Social Media
September 1,Friday,YOUTUBE,21,Entertainment
September 1,Friday,SAFARI,19,Education
September 1,Friday,MESSAGES ,12,Social Media
September 1,Friday,PINTEREST,8,Social Media
September 1,Friday,UNIDAYS,3,Education
September 1,Friday,SETTINGS,3,Other
September 1,Friday,WALLET,2,Social Media
September 2,Saturday,TIK TOK,61,Social Media
September 2,Saturday,SAFARI ,59,Education
September 2,Saturday,INSTAGRAM,52,Social Media
September 2,Saturday,GOOGLE PHOTOS ,37,Other
September 2,Saturday,MESSAGES,17,Social Media
September 2,Saturday,PHOTOS,9,Other
September 2,Saturday,PINTEREST,7,Social Media
September 3,Sunday,INSTAGRAM,80,Social Media
September 3,Sunday,TIK TOK,75,Social Media
September 3,Sunday,GOOGLE PHOTOS ,6,Other
September 3,Sunday,PINTEREST,5,Social Media
September 3,Sunday,CAMERA,5,Other
September 3,Sunday,SPOTIFY,4,Entertainment
September 3,Sunday,GMAIL,4,Education